MTFCC,OID,GEOID,STATE,COUNTY,TRACT,BLKGRP,BLOCK,BASENAME,NAME,LSADC,FUNCSTAT,POP100,HU100,AREALAND,AREAWATER,UR,CENTLAT,CENTLON,INTPTLAT,INTPTLON
G5040,2.10404E+14,110010002023004,11,1,202,3,3004,3004,Block 3004,BK,S,122,48,9568,,U,38.9063306,-77.068399,38.9063306,-77.068399
G5040,2.10404E+14,110010002023005,11,1,202,3,3005,3005,Block 3005,BK,S,87,43,14066,,U,38.906362,-77.0669424,38.906362,-77.0669424
G5040,2.10404E+14,110010002023006,11,1,202,3,3006,3006,Block 3006,BK,S,71,33,6855,,U,38.9063869,-77.0656532,38.9063869,-77.0656532
G5040,2.10404E+14,110010002023007,11,1,202,3,3007,3007,Block 3007,BK,S,103,74,18983,,U,38.906418,-77.064063,38.906418,-77.064063
G5040,2.10404E+14,110010002023008,11,1,202,3,3008,3008,Block 3008,BK,S,7,3,19484,,U,38.9055771,-77.0640085,38.9055771,-77.0640085
G5040,2.10404E+14,110010002023009,11,1,202,3,3009,3009,Block 3009,BK,S,22,10,2944,,U,38.9055581,-77.0653793,38.9055581,-77.0653793
G5040,2.10404E+14,110010002023010,11,1,202,3,3010,3010,Block 3010,BK,S,58,23,4181,,U,38.9055324,-77.0658098,38.9055324,-77.0658098
G5040,2.10404E+14,110010002023011,11,1,202,3,3011,3011,Block 3011,BK,S,111,37,8146,,U,38.905523,-77.0665639,38.905523,-77.0665639
G5040,2.10404E+14,110010002023012,11,1,202,3,3012,3012,Block 3012,BK,S,111,32,6418,,U,38.9055003,-77.0674507,38.9055003,-77.0674507
G5040,2.10404E+14,110010002023013,11,1,202,3,3013,3013,Block 3013,BK,S,40,25,9238,,U,38.9054864,-77.0684031,38.9054864,-77.0684031
G5040,2.10404E+14,110010002024000,11,1,202,4,4000,4000,Block 4000,BK,S,163,48,12359,,U,38.908209,-77.0697134,38.908209,-77.0697134
G5040,2.10404E+14,110010002024001,11,1,202,4,4001,4001,Block 4001,BK,S,123,36,11932,,U,38.9081805,-77.070994,38.9081805,-77.070994
G5040,2.10404E+14,110010002024002,11,1,202,4,4002,4002,Block 4002,BK,S,400,16,12151,,U,38.9071923,-77.0709549,38.9071923,-77.0709549
G5040,2.10404E+14,110010002024003,11,1,202,4,4003,4003,Block 4003,BK,S,93,34,12447,,U,38.9072206,-77.0696702,38.9072206,-77.0696702
G5040,2.10404E+14,110010002024004,11,1,202,4,4004,4004,Block 4004,BK,S,774,1,10458,,U,38.9063048,-77.0696362,38.9063048,-77.0696362
G5040,2.10404E+14,110010002024005,11,1,202,4,4005,4005,Block 4005,BK,S,101,31,10241,,U,38.9062747,-77.0709151,38.9062747,-77.0709151
G5040,2.10404E+14,110010002024006,11,1,202,4,4006,4006,Block 4006,BK,S,45,27,43807,,U,38.9055348,-77.0719474,38.9055348,-77.0719474
G5040,2.10404E+14,110010002024007,11,1,202,4,4007,4007,Block 4007,BK,S,,,11016,,U,38.9058998,-77.0764053,38.9058998,-77.0764053
G5040,2.10404E+14,110010002024008,11,1,202,4,4008,4008,Block 4008,BK,S,,,4828,,U,38.9052904,-77.0736396,38.9049598,-77.0709028
G5040,2.10404E+14,110010002024009,11,1,202,4,4009,4009,Block 4009,BK,S,,,,13967,U,38.905235,-77.0741149,38.905235,-77.0741149
G5040,2.10404E+14,110010002024010,11,1,202,4,4010,4010,Block 4010,BK,S,,,,1010,U,38.9056481,-77.0790067,38.9056481,-77.0790067
G5040,2.10404E+14,110010002024011,11,1,202,4,4011,4011,Block 4011,BK,S,,,9358,,U,38.9052655,-77.0790551,38.9054908,-77.0787008
G5040,2.10404E+14,110010002024012,11,1,202,4,4012,4012,Block 4012,BK,S,4,2,49345,,U,38.9048241,-77.0740175,38.9048241,-77.0740175
G5040,2.10404E+14,110010002024013,11,1,202,4,4013,4013,Block 4013,BK,S,,,542,,U,38.9045319,-77.0698993,38.9045319,-77.0698993
G5040,2.10404E+14,110010002024014,11,1,202,4,4014,4014,Block 4014,BK,S,,,2103,,U,38.9043793,-77.0693686,38.9043793,-77.0693686
G5040,2.10404E+14,110010002024015,11,1,202,4,4015,4015,Block 4015,BK,S,,,,718,U,38.9045423,-77.0691629,38.9045423,-77.0691629
G5040,2.10404E+14,110010002024016,11,1,202,4,4016,4016,Block 4016,BK,S,,,391,,U,38.9046461,-77.0689595,38.9046461,-77.0689595
G5040,2.10404E+14,110010002024017,11,1,202,4,4017,4017,Block 4017,BK,S,,,4866,,U,38.9048701,-77.0694098,38.9048701,-77.0694098
